ticker,shares_bought,avg_price_per_share,date_of_transaction,order_amount,total_amount_bought
CRON,2.0,13.63,2019-01-17,27.26,27.26
TWTR,1.0,32.75,2019-01-17,32.75,60.010000000000005
CVNA,1.0,39.41,2019-01-29,39.41,99.42
CRON,5.0,18.9,2019-01-29,94.5,193.92000000000002
SVMK,4.0,13.0475,2019-01-29,52.19,246.11
CVNA,-1.0,35.13,2019-02-01,-35.13,210.98000000000002
TWTR,1.0,33.37,2019-02-01,33.37,244.35000000000002
SONO,5.0,13.0,2019-02-04,65.0,309.35
CRON,-7.0,21.3957,2019-03-04,-149.7699,159.58010000000002
SONO,-5.0,10.972,2019-04-03,-54.86,104.72010000000002
SVMK,1.0,18.04,2019-04-03,18.04,122.76010000000002
TWTR,1.0,34.53,2019-04-03,34.53,157.29010000000002
JMIA,2.0,34.21,2019-04-18,68.42,225.7101
JMIA,-2.0,45.5,2019-05-01,-91.0,134.7101
TWLO,1.0,131.77,2019-05-01,131.77,266.4801
Z,1.0,36.0,2019-05-10,36.0,302.4801
WORK,2.0,38.9,2019-06-21,77.8,380.2801
DBX,2.0,26.29,2019-07-15,52.58,432.8601
SNAP,1.0,17.24,2019-07-25,17.24,450.1001
SVMK,-3.0,18.5567,2019-07-26,-55.6701,394.43
Z,1.0,49.0,2019-07-26,49.0,443.43
TWTR,2.0,42.02,2019-08-08,84.04,527.47
SVMK,-2.0,16.485,2019-09-04,-32.97,494.5
WORK,1.0,30.75,2019-09-04,30.75,525.25
NET,1.0,19.08,2019-09-20,19.08,544.33
NET,2.0,21.78,2019-09-24,43.56,587.8900000000001
DDOG,1.0,36.61,2019-09-24,36.61,624.5000000000001
CRON,2.0,9.8,2019-09-24,19.6,644.1000000000001
PTON,1.0,22.45,2019-10-04,22.45,666.5500000000002
SMAR,1.0,38.31,2019-10-04,38.31,704.8600000000001
ZS,1.0,48.53,2019-10-04,48.53,753.3900000000001
SNAP,-1.0,13.81,2019-10-22,-13.81,739.5800000000002
SPCE,1.0,11.16,2019-10-29,11.16,750.7400000000001
CRON,-1.0,7.21,2019-11-13,-7.21,743.5300000000001
CRON,-1.0,6.7,2019-11-19,-6.7,736.83
PTON,-1.0,30.58,2019-12-12,-30.58,706.25
WORK,1.0,20.61,2019-12-12,20.61,726.86
DBX,1.0,16.92,2019-12-12,16.92,743.78
SPCE,-1.0,9.14,2019-12-12,-9.14,734.64
DDOG,1.0,36.4,2019-12-12,36.4,771.04
Z,-2.0,44.62,2020-01-06,-89.24,681.8
ZS,-1.0,51.18,2020-01-08,-51.18,630.62
SMAR,-1.0,48.16,2020-01-22,-48.16,582.46
TWTR,-3.0,38.87,2020-02-06,-116.60999999999999,465.85
WORK,-1.0,26.11,2020-02-10,-26.11,439.74
BRK-B,0.068495,218.9941,2020-02-25,15.0000008795,454.74000087950003
ZM,0.102249,108.6563,2020-02-25,11.1099980187,465.84999889820006
BX,0.302143,49.6454,2020-03-10,15.0000100922,480.85000899040006
ZM,-0.102249,125.6736,2020-04-02,-12.8499999264,468.00000906400004
NET,-2.151462,23.3562,2020-04-13,-50.2499767644,417.75003229960004
NFLX,0.152674,413.2989,2020-04-15,63.0999962586,480.85002855820005
DBX,-3.0,18.8233,2020-04-16,-56.469899999999996,424.38012855820006
WORK,0.676101,29.5814,2020-04-16,20.000014121399996,444.38014267960006
NFLX,0.081619,446.8322,2020-04-16,36.4699973318,480.8501400114001
SHOP,0.066715,524.6197,2020-04-16,35.00000328549999,515.8501432969001
DIS,0.437225,102.9218,2020-04-16,44.999984005,560.8501273019001
BX,-0.302143,48.156,2020-04-20,-14.549998308,546.3001289939001
BRK-B,-0.068495,188.9189,2020-04-20,-12.9400000555,533.3601289384001
NFLX,0.045211,442.3702,2020-04-20,19.9999991122,553.3601280506001
SHOP,0.011836,632.8151,2020-04-20,7.4899995236,560.8501275742001
AAPL,0.107056,280.2272,2020-04-23,30.0000031232,590.8501306974001
DKNG,1.0,19.29,2020-04-30,19.29,610.1401306974001
PYPL,0.122823,122.127,2020-04-30,15.000004521,625.1401352184001
GOOGL,0.011284,1329.3158,2020-04-30,14.999999487200002,640.1401347056002
MSFT,0.111532,179.3207,2020-04-30,19.9999963124,660.1401310180001
SHOP,0.015784,633.553,2020-04-30,10.000000552,670.1401315700001
AMZN,0.006178,2427.9702,2020-04-30,14.999999895600002,685.1401314656001
AAPL,0.019619,291.0444,2020-04-30,5.7100000836,690.8501315492001
FB,0.244882,204.18,2020-05-01,50.00000676,740.8501383092001
TWLO,-0.558555,113.0775,2020-05-04,-63.160003012500006,677.6901352967001
DKNG,1.0,20.93,2020-05-04,20.93,698.6201352967
SHOP,0.02288,655.5944,2020-05-04,14.999999872,713.6201351687
MSFT,0.084054,178.4567,2020-05-04,14.999999461800002,728.6201346305
PYPL,0.048547,123.5916,2020-05-04,6.0000014052,734.6201360357
AAPL,0.02127,292.9008,2020-05-04,6.230000016,740.8501360517
TWLO,-0.441445,161.3565,2020-05-07,-71.2300201425,669.6201159092
BUD,1.0,42.58,2020-05-07,42.58,712.2001159092
DDOG,-1.0,50.0,2020-05-07,-50.0,662.2001159092
DKNG,1.0,25.08,2020-05-07,25.08,687.2801159092
MSFT,0.019468,183.3779,2020-05-07,3.5700009572,690.8501168664001
DOCU,0.084348,118.5565,2020-05-07,10.000003662000001,700.8501205284001
CRWD,0.131565,76.0081,2020-05-07,10.000005676499999,710.8501262049001
MSFT,0.054357,183.9689,2020-05-07,9.9999974973,720.8501237022001
GOOGL,0.007285,1372.6836,2020-05-07,10.000000026,730.8501237282001
ROKU,0.073102,136.7952,2020-05-07,10.0000027104,740.8501264386001
AAPL,0.047711,308.105,2020-05-08,14.699997655000002,755.5501240936001
PYPL,0.068369,146.2651,2020-05-08,9.9999986219,765.5501227155
GOOGL,0.010777,1391.853,2020-05-08,14.999999781000001,780.5501224965001
AMZN,0.006303,2379.8191,2020-05-08,14.9999997873,795.5501222838001
ROKU,-0.073102,127.4931,2020-05-08,-9.3200005962,786.2301216876001
NET,1.0,26.94,2020-05-08,26.94,813.1701216876002
DDOG,-1.0,56.05,2020-05-11,-56.05,757.1201216876002
LULU,0.123099,243.7063,2020-05-11,30.0000018237,787.1201235113002
AAPL,0.079393,314.8892,2020-05-11,24.9999982556,812.1201217669002
DDOG,0.236424,56.8047,2020-05-11,13.4299943928,825.5501161597002
AAPL,0.0004,300.0,2020-05-15,0.12000000000000001,825.6701161597002
DOCU,-0.084348,123.0616,2020-05-18,-10.379999836800001,815.2901163229002
CRWD,-0.131565,76.9202,2020-05-18,-10.120006112999999,805.1701102099001
NET,0.367252,28.5907,2020-05-18,10.4999917564,815.6701019663002
DDOG,0.146011,68.488,2020-05-18,10.000001368,825.6701033343002
UBER,1.049233,34.549,2020-05-18,36.249950917,861.9200542513001
SHOP,0.066529,751.552,2020-05-29,50.00000300800001,911.9200572593002
DIS,0.174326,114.7276,2020-05-29,20.0000035976,931.9200608569001
LULU,0.069033,289.7165,2020-05-29,19.9999991445,951.9200600014001
PYPL,0.200034,149.9745,2020-05-29,29.999999133,981.9200591344
SPOT,0.139221,179.5706,2020-05-29,24.999998502600004,1006.920057637
SQ,0.185822,80.7224,2020-05-29,14.999997812799998,1021.9200554498
DKNG,1.0,37.68,2020-05-29,37.68,1059.6000554498
DDOG,0.435253,68.9254,2020-05-29,29.999987126199997,1089.600042576
DDOG,0.32376,68.94,2020-05-29,22.320014399999998,1111.920056976
TOPS,50.0,0.198,2020-06-09,9.9,1121.8200569760002
JETS,2.05068,19.5057,2020-06-10,39.999948876,1161.8200058520001
MSFT,0.000735,190.4762,2020-06-12,0.140000007,1161.9600058590001
