ticker,shares_bought,avg_price_per_share,date_of_transaction,order_amount,total_amount_bought
CRON,2.0,13.63,2019-01-17,27.26,27.26
TWTR,1.0,32.75,2019-01-17,32.75,60.010000000000005
CVNA,1.0,39.41,2019-01-29,39.41,99.42
CRON,5.0,18.9,2019-01-29,94.5,193.92000000000002
SVMK,4.0,13.0475,2019-01-29,52.19,246.11
TWTR,1.0,33.37,2019-02-01,33.37,279.48
SONO,5.0,13.0,2019-02-04,65.0,344.48
SVMK,1.0,18.04,2019-04-03,18.04,362.52000000000004
TWTR,1.0,34.53,2019-04-03,34.53,397.05000000000007
JMIA,2.0,34.21,2019-04-18,68.42,465.4700000000001
TWLO,1.0,131.77,2019-05-01,131.77,597.2400000000001
Z,1.0,36.0,2019-05-10,36.0,633.2400000000001
WORK,2.0,38.9,2019-06-21,77.8,711.0400000000001
DBX,2.0,26.29,2019-07-15,52.58,763.6200000000001
SNAP,1.0,17.24,2019-07-25,17.24,780.8600000000001
Z,1.0,49.0,2019-07-26,49.0,829.8600000000001
TWTR,2.0,42.02,2019-08-08,84.04,913.9000000000001
WORK,1.0,30.75,2019-09-04,30.75,944.6500000000001
NET,1.0,19.08,2019-09-20,19.08,963.7300000000001
NET,2.0,21.78,2019-09-24,43.56,1007.2900000000002
DDOG,1.0,36.61,2019-09-24,36.61,1043.9
CRON,2.0,9.8,2019-09-24,19.6,1063.5
PTON,1.0,22.45,2019-10-04,22.45,1085.95
SMAR,1.0,38.31,2019-10-04,38.31,1124.26
ZS,1.0,48.53,2019-10-04,48.53,1172.79
SPCE,1.0,11.16,2019-10-29,11.16,1183.95
WORK,1.0,20.61,2019-12-12,20.61,1204.56
DBX,1.0,16.92,2019-12-12,16.92,1221.48
DDOG,1.0,36.4,2019-12-12,36.4,1257.88
BRK-B,0.068495,218.9941,2020-02-25,15.0000008795,1272.8800008795001
ZM,0.102249,108.6563,2020-02-25,11.109998018699999,1283.9899988982002
BX,0.302143,49.6454,2020-03-10,15.0000100922,1298.9900089904002
NFLX,0.152674,413.2989,2020-04-15,63.099996258599994,1362.0900052490001
WORK,0.6761010000000001,29.5814,2020-04-16,20.0000141214,1382.0900193704001
NFLX,0.08161900000000001,446.8322,2020-04-16,36.469997331799995,1418.5600167022
SHOP,0.066715,524.6197,2020-04-16,35.000003285499986,1453.5600199877001
DIS,0.437225,102.9218,2020-04-16,44.999984005,1498.5600039927
NFLX,0.045211,442.3702,2020-04-20,19.9999991122,1518.5600031049
SHOP,0.011836,632.8151,2020-04-20,7.4899995236,1526.0500026285001
AAPL,0.107056,280.2272,2020-04-23,30.000003123200003,1556.0500057517002
DKNG,1.0,19.29,2020-04-30,19.29,1575.3400057517001
PYPL,0.122823,122.12700000000001,2020-04-30,15.000004521,1590.3400102727
GOOGL,0.011284,1329.3158,2020-04-30,14.999999487200002,1605.3400097599
MSFT,0.11153199999999999,179.3207,2020-04-30,19.9999963124,1625.3400060723002
SHOP,0.015784,633.553,2020-04-30,10.000000552000001,1635.3400066243003
AMZN,0.006178,2427.9702,2020-04-30,14.999999895600002,1650.3400065199003
AAPL,0.019619,291.0444,2020-04-30,5.7100000836,1656.0500066035004
FB,0.24488200000000002,204.18,2020-05-01,50.00000676,1706.0500133635003
DKNG,1.0,20.93,2020-05-04,20.93,1726.9800133635003
SHOP,0.02288,655.5944,2020-05-04,14.999999872,1741.9800132355003
MSFT,0.08405399999999999,178.4567,2020-05-04,14.999999461800003,1756.9800126973003
PYPL,0.048547,123.5916,2020-05-04,6.0000014052,1762.9800141025003
AAPL,0.021269999999999997,292.9008,2020-05-04,6.230000016,1769.2100141185003
BUD,1.0,42.58,2020-05-07,42.58,1811.7900141185003
DKNG,1.0,25.08,2020-05-07,25.08,1836.8700141185002
MSFT,0.019468,183.3779,2020-05-07,3.5700009572000004,1840.4400150757
DOCU,0.084348,118.5565,2020-05-07,10.000003662000001,1850.4400187377
CRWD,0.13156500000000002,76.0081,2020-05-07,10.000005676499999,1860.4400244142
MSFT,0.054357,183.9689,2020-05-07,9.9999974973,1870.4400219115
GOOGL,0.007285,1372.6836,2020-05-07,10.000000026,1880.4400219375
ROKU,0.073102,136.7952,2020-05-07,10.0000027104,1890.4400246479
AAPL,0.047711,308.105,2020-05-08,14.699997655000002,1905.1400223029
PYPL,0.068369,146.2651,2020-05-08,9.999998621900001,1915.1400209248
GOOGL,0.010777,1391.8529999999998,2020-05-08,14.999999781,1930.1400207058
AMZN,0.0063030000000000004,2379.8191,2020-05-08,14.9999997873,1945.1400204931
NET,1.0,26.94,2020-05-08,26.94,1972.0800204931002
LULU,0.123099,243.7063,2020-05-11,30.0000018237,2002.0800223168
AAPL,0.07939299999999999,314.8892,2020-05-11,24.999998255599998,2027.0800205724001
DDOG,0.23642399999999997,56.8047,2020-05-11,13.4299943928,2040.5100149652
AAPL,0.0004,300.0,2020-05-15,0.12,2040.6300149652
NET,0.367252,28.5907,2020-05-18,10.4999917564,2051.1300067216
DDOG,0.146011,68.488,2020-05-18,10.000001368,2061.1300080896
UBER,1.049233,34.549,2020-05-18,36.249950917,2097.3799590066
SHOP,0.06652899999999999,751.552,2020-05-29,50.000003008000014,2147.3799620146
DIS,0.174326,114.7276,2020-05-29,20.0000035976,2167.3799656122
LULU,0.06903300000000001,289.7165,2020-05-29,19.999999144500002,2187.3799647567002
PYPL,0.200034,149.9745,2020-05-29,29.999999133000003,2217.3799638897003
SPOT,0.139221,179.5706,2020-05-29,24.999998502600004,2242.3799623923005
SQ,0.18582200000000001,80.7224,2020-05-29,14.999997812799997,2257.3799602051004
DKNG,1.0,37.68,2020-05-29,37.68,2295.0599602051
DDOG,0.435253,68.9254,2020-05-29,29.9999871262,2325.0599473313
DDOG,0.32376,68.94,2020-05-29,22.3200144,2347.3799617313
TOPS,50.0,0.198,2020-06-09,9.9,2357.2799617313003
JETS,2.05068,19.5057,2020-06-10,39.999948876,2397.2799106073003
MSFT,0.000735,190.4762,2020-06-12,0.14000000699999998,2397.4199106143
DKNG,1.0,36.59,2020-06-12,36.59,2434.0099106143
JETS,1.0,17.82,2020-06-12,17.82,2451.8299106143004
NFLX,0.235844,424.0091,2020-06-12,100.0000021804,2551.8299127947002
PENN,2.0,29.76,2020-06-12,59.52,2611.3499127947002
PLUG,10.0,4.978,2020-06-12,49.78,2661.1299127947004
BETZ,5.0,14.57,2020-06-12,72.85,2733.9799127947003
WORK,1.0,30.12,2020-06-12,30.12,2764.0999127947002
TWLO,0.25990599999999997,192.3772,2020-06-12,49.9999885432,2814.0999013379
TTD,0.142321,351.3185,2020-06-12,50.00000023850001,2864.0999015764
FB,0.11024500000000001,226.7677,2020-06-12,25.0000050865,2889.0999066629
AAPL,0.14740999999999999,339.19,2020-06-12,49.9999979,2939.0999045629
GOOGL,0.035422,1411.5521,2020-06-12,49.999998486200006,2989.0999030491002
DDOG,0.064617,77.37899999999999,2020-06-12,4.999998843,2994.0999018921
TOPS,20.0,0.151,2020-06-12,3.02,2997.1199018921
VTI,1.270907,157.3679,2020-06-22,199.9999656853,3197.1198675774003
TGT,0.08273,120.8751,2020-06-22,9.999997022999999,3207.1198646004004
HD,0.040291,248.1944,2020-06-22,10.0000005704,3217.1198651708005
TSM,0.17954900000000001,55.6951,2020-06-22,9.9999995099,3227.1198646807006
DDOG,0.113096,88.4205,2020-06-22,10.000004868,3237.1198695487005
NET,0.271333,36.8551,2020-06-22,10.0000048483,3247.1198743970003
DKNG,0.241254,41.4501,2020-06-22,10.0000024254,3257.1198768224003
FB,0.071501,239.8568,2020-06-22,17.150001056799994,3274.2698778792005
VTI,1.266953,157.8591,2020-06-22,200.0000603223,3474.2699382015007
